id,question,option_a,option_b,option_c,option_d,option_e,correct_answers,explanation,category,difficulty
1,未管理パッケージを作成する理由は何ですか？ 答えを2つ選んでください,AppExchangeでのオープンソースプロジェクトを配布する。,AppExchangeで販売するアプリケーションを公開する。,Developer Edition環境からデプロイする。,アップグレード可能なコンポーネントを別のSalesforce組織に配布する。,,"A,C",未管理パッケージはオープンソースプロジェクトを配布するために作成し、未管理パッケージを作成した開発者は、未管理パッケージで配布したコンポーネントをアップグレードできません。Developer Editionから本番環境へ反映する場合は未管理パッケージを使って移行する必要があります。,Platformアプリケーションビルダー,中級
2,DreamHouse Realty は、顧客のガレージに設置されているリフトの数を追跡したいと考えています。カスタムリフトオブジェクトの [To Be Installed] カスタムチェックボックスフィールドをチェックし、リフトが販売された翌日に、送信メッセージを介して外部システムに通知する必要があります。このタスクを完了するには、どの自動化ツールを使用する必要がありますか?,承認プロセス,ワークフロー,フロー,プロセスビルダー,,C,フローで条件に一致した際、アウトバウンドメッセージを外部システムに通知する事で要件を満たせます。ワークフローやプロセスビルダーでも要件を満たせますが、2025年12月31日に廃止予定となりますので、フローでの実装が最善です。,Platformアプリケーションビルダー,中級
3,アプリビルダーが新しいレポートタイプを作成しましたが、ユーザーは自分が所有するレコードの新しいレポートを作成するときに、レポートタイプリストからそのレポートタイプを選択できません。この問題の原因は何でしょうか?,必要なオブジェクトにアクセスできません。,レポートタイプのステータスが「デプロイ済み」です。,レポートタイプのステータスが「開発中」です。,レポートの作成とカスタマイズへのアクセスが無効です。,,C,ステータスが「リリース済み」のレポートタイプはすべてのユーザーが使用できますが、ステータスが「開発中」のレポートタイプは「カスタムレポートタイプの管理」権限を持つユーザー以外には表示されません。,Platformアプリケーションビルダー,中級
4,Universal Containers のアプリビルダーは、カスタムオブジェクトレコード ページにChatterフィードを追加するように依頼されました。アプリビルダーはどのアプローチを使用すべきですか?,標準Chatterフィードコンポーネントを追加します。,標準の関連リストコンポーネントを追加します。,カスタムChatterフィードコンポーネントを追加します。,AppExchangeからChatterフィードコンポーネントを追加します。,,A,カスタムオブジェクトの [Chatterフィード追跡の有効化] を行うと、標準Chatterフィードコンポーネントが追加可能になるので、ページ上に配置して要件を満たせます。,Platformアプリケーションビルダー,中級
5,Universal Containers は、営業担当者が商談を削除する前にマネージャーから許可を得ることを望んでいます。これらの要件を満たすために使用できるものは何ですか?,承認のために送信アクションを備えたプロセスビルダー。,トリガーされたフロープロセスを備えた承認プロセス。,時間依存ワークフローアクションを備えた承認プロセス。,2段階の承認プロセス。,,D,"""許可を得る""場合、承認プロセスを使用して要件を実現します。",Platformアプリケーションビルダー,中級
6,Universal Containers は、Salesforceの商談データを財務データベースのレコードと一致させたいと考えています。Salesforceの商談レコードと財務データベースのレコード間の間接参照関係をSalesforceで構成するには何が必要ですか?,SalesforceレコードID,TEXT(Id),外部ID,CASESAFE(Id),,C,間接参照関係項目を作成する際、外部ID項目を使用する必要があります。,Platformアプリケーションビルダー,中級
7,Nickname__c は、メールテンプレートに表示される取引先責任者名を上書きするために使用される、取引先責任者レコードのカスタムテキスト項目です。この項目は必須ではなく、常に入力されているわけではありません。電子メール通信用の取引先責任者の優先名を​​選択するためにアプリビルダーが使用する式はどれですか?,"IF(ISNUUL(Nickname__c),Nickname__c, Firstftame)","IF(NOT(BLANKVALUE(Nickname__c)), Nickname__c, FirstName)","IF(NOT(ISBLANK(Nickname__c)), Nickname__c, FirstName)","IF(TEXT(Nickname__c), Nickname__c, FirstName)",,C,①：Nickname__cが入力ありだったら、宛名はNickname__c②：Nickname__cが入力なしだったら、宛名は取引先責任者名のように数式で条件判定しなければなりません。項目値が未入力かどうかの判断にはISBLANK関数、条件判定にはIF関数を使用するので、下記式で要件を満たす事ができますが、該当する数式が選択肢に無いので、結果のboolean値を反転させるNOT関数を使用して下記構文にする事で上記と同一の結果を返すようにする必要があります。,Platformアプリケーションビルダー,中級
8,Universal Containers の営業マネージャーは、営業担当者が収集する情報を標準化したいと考えています。営業担当者は、推奨事項、営業戦略、および商談レコードの販売プロセスの各ステップで入力する必要がある主要なフィールドを知りたいと考えています。これを機能的に提供するために、アプリビルダーはどの機能を使用する必要がありますか?,ワークフロー,パス,Chatterフィード,グローバルアクション,,B,パスの設定を使用する事で、商談フェーズ毎の推奨事項や入力すべき項目などをガイダンスできるようになります。,Platformアプリケーションビルダー,中級
9,Universal Containers のマネージャーは、追加のアカウントを作成して、親アカウントレコードから階層を形成する簡単な方法を望んでいます。ユーザーが子アカウントをすばやく簡単に作成できるように、親に基づいて5つのフィールドIDを自動入力したいと考えています。アプリビルダーは何を推奨すべきですか?,カスタムアクションの作成,グローバルクイックアクションをカスタマイズする,アカウントにカスタムリンクを追加する,アカウント階層にパスを追加,,A,取引先に「取引先を作成するカスタムアクション」を用意すると、子取引先をすばやく簡単に作成できるようになります。カスタムアクションはリレーション項目が作成されて、親取引先と紐づきますので取引先階層も容易に形成できます。また、カスタムアクションに定義済み項目値を設定すれば、5つのフィールドにIDを自動入力させることも可能です。,Platformアプリケーションビルダー,中級
10,Salesforceでのアプリケーション開発において、リレーショナルデータモデルを効果的に設計するために重要な考慮事項はどれですか？,項目レベルのセキュリティの適用,Apexトリガーの実装,主従関係と参照関係の適切な使用,カスタムレポートタイプの作成,,C,Salesforceでは、主従関係や参照関係を使用してオブジェクト間のリレーションを構築しますので、主従関係と参照関係の適切な使用が重要になります。,Platformアプリケーションビルダー,中級
